userID,userName,email,password,signUpDate,dateOfBirth,gender,city,state,membershipType,CreditScore
44,christine07,lewisjeffrey@example.com,ol$A6GZy7!,2023-02-10,1959-10-19,Male,East Jimmybury,Georgia,Free,673
45,matthewparker,meltonbrandon@example.com,hgx7xP9r)2,2022-12-25,2005-09-02,Male,Timothystad,Louisiana,Free,757
46,zsutton,pgreene@example.org,!GWz^Yl055,2022-01-03,1958-10-24,Other,Stevenmouth,Maine,Free,740
47,elizabeth77,smithamanda@example.com,dC0VOg5(+Y,2023-01-28,1971-08-09,Female,Kathyside,Kansas,Premium,709
48,paulhernandez,fowlerthomas@example.com,j3*M0C+ys&,2022-12-06,1972-05-01,Male,Gardnermouth,Montana,Free,807
49,william08,hgriffin@example.com,Vh*+0UOj59,2021-12-01,1995-10-17,Male,Davidhaven,Kentucky,Free,754
50,shawleah,acostasara@example.org,lEY_Dm+T%4,2023-05-24,1968-11-18,Other,Mitchellton,North Carolina,Premium,725
51,rhodeskatie,philipdaniel@example.com,dy9X4afU0@,2022-09-22,1961-04-27,Male,Judymouth,New Mexico,Free,710
52,castrobarbara,kaitlyn60@example.org,$XR)9eNd5q,2023-03-24,1962-10-16,Male,Danielbury,Vermont,Premium,636
53,alexandra85,tenglish@example.org,#CDxE4Zqy1,2022-08-11,2003-10-19,Male,North Thomasbury,New Hampshire,Premium,767
54,alexanderrich,ashley26@example.com,W((DN67oOM,2022-08-24,1993-04-03,Other,Lindsayport,Maryland,Premium,683
55,hernandeznancy,josephgill@example.net,%84R1aJp#N,2022-08-05,1977-01-10,Female,Tinaborough,Kansas,Premium,692
56,phillipsroberta,aaronsims@example.com,%0qP@kwZuV,2023-10-25,1974-03-25,Other,Port Luisfort,Louisiana,Free,744
57,whernandez,ayalabarbara@example.com,!H0vXOeWG0,2022-09-14,1958-12-26,Female,Lake Brianshire,Arkansas,Premium,811
58,michellecarson,paulahoover@example.net,#e+SX6On@4,2023-08-24,1998-12-11,Male,West Charleshaven,Illinois,Free,715
59,drewmorgan,camposkelly@example.org,p*3Y(xKSdw,2022-11-21,1970-03-11,Female,Jenniferstad,Alaska,Free,702
60,clarknorma,debbie69@example.org,33MvhzdR+M,2022-02-26,1984-01-11,Female,Lake Leslie,Idaho,Free,742
61,stephenjohnson,juliataylor@example.com,&@(k2DVmbo,2023-07-24,1969-07-18,Other,New Robinmouth,California,Free,736
62,laurenjones,kingerin@example.com,a7z51BrzB_,2022-08-22,1986-08-04,Male,Lake Michaelside,Vermont,Premium,779
63,roserichard,anthonycasey@example.com,*0*eBR19mC,2023-07-17,2003-12-21,Female,Mendezmouth,Connecticut,Premium,634
64,mandy39,brooksthomas@example.net,!iERRs8z7%,2022-04-21,1962-04-08,Other,West Brandychester,Connecticut,Premium,649
65,jennifer05,cameronromero@example.net,*ENpmv_12k,2023-05-17,1972-03-22,Other,Kellyfurt,South Carolina,Free,666
66,timothyhoward,ggreen@example.org,FR21uCwg&h,2023-05-29,1962-10-24,Male,Port Martin,Kentucky,Premium,676
67,jennifer66,kleincorey@example.com,#oDgx#t6J3,2023-02-06,1997-05-12,Other,Judymouth,New Mexico,Free,691
68,sherry62,george04@example.com,4aD6Dy_z&n,2023-10-24,2000-03-06,Other,South Ryan,Iowa,Free,657
69,joshuafarley,yrice@example.net,PUG6RK1k*V,2023-04-08,2000-07-02,Other,West Jessicafurt,Maine,Premium,658
70,jonesbrent,brandi27@example.net,^82lfJ&h%v,2023-09-16,1996-05-28,Other,North Franklin,New Hampshire,Premium,627
71,kleindenise,vharvey@example.org,()TrPg1Sh2,2023-09-17,1975-07-08,Female,East Frank,Oregon,Premium,713
72,lisasmith,clarknicholas@example.com,4M^6FwTM)1,2023-06-24,1963-04-27,Male,Lisaburgh,Delaware,Premium,662
73,agibbs,maxbutler@example.org,KSo^iJ4v)8,2023-09-19,1963-07-07,Male,Davidhaven,Kentucky,Free,693
74,jenna77,dudleychristopher@example.com,)a2HrPW*H%,2023-05-28,1986-07-19,Male,Hillhaven,Kentucky,Premium,755
75,vconrad,hsharp@example.com,!g72sDriI8,2023-02-12,1955-01-25,Female,Port Luisfort,Louisiana,Free,678
76,gravesjessica,brianataylor@example.net,69*%1SIeIt,2023-08-08,1973-02-09,Female,Pamelaborough,Georgia,Premium,721
77,tblack,justinhernandez@example.org,y*@uICUd$3,2022-01-26,1984-01-20,Male,Scottside,Kentucky,Premium,672
78,ymorgan,andrew41@example.net,m*2r1P2nfk,2022-08-26,2003-01-26,Female,Patriciamouth,Ohio,Free,635
79,davidmiddleton,frankanna@example.com,Xe2&Dubh*o,2023-05-13,1994-11-09,Other,Gordonside,Wyoming,Free,756
80,cwarren,jamiecohen@example.org,bX1$Ztyq6@,2023-06-05,1984-09-24,Male,New Dwayneborough,Massachusetts,Premium,754
81,bonniewallace,john79@example.org,$68EYw8z%K,2023-04-10,1974-02-25,Male,Port Luisfort,Louisiana,Free,701
82,elizabeth64,garciabenjamin@example.net,(2BDprwzxY,2021-12-03,1994-02-06,Male,Johnshire,Virginia,Premium,711
83,angela94,moralesstephen@example.org,#nSqP8J8H3,2023-11-10,1954-03-26,Female,Colontown,Alaska,Free,770
84,ocox,jeromeball@example.com,*9T@9we916,2023-05-04,1975-05-12,Other,Nathanstad,Arkansas,Free,737
85,yolanda58,nhayes@example.com,E7CPyvY!*D,2022-12-24,2002-07-08,Other,Lake Amyfort,Arizona,Premium,704
86,christopherwheeler,natasha58@example.org,q+0kHF6ol%,2022-11-25,1960-07-08,Female,South David,Massachusetts,Free,729
87,bhoover,waltergilbert@example.org,i53SNof++F,2022-10-29,2005-04-15,Male,West Anthonymouth,Massachusetts,Free,704
88,xjarvis,caroline71@example.com,g@95QQZ4od,2023-11-02,1970-10-28,Other,Jenniferstad,Alaska,Free,718
89,melissa70,angelica50@example.net,RQ!7BFzp&T,2023-09-05,1967-12-05,Male,South Danielle,Wisconsin,Free,699
90,vmurphy,johnsonkatie@example.org,(#*3ZncjMG,2022-03-17,1989-10-05,Male,Johnsonside,Delaware,Free,655
91,mcdonaldjesse,reedkenneth@example.org,*9MY)m7p3K,2023-08-25,1955-09-13,Male,North Ryanville,Alaska,Free,782
92,jeremygriffith,qkeller@example.net,#^NqNiTR0H,2022-11-09,1992-03-01,Male,New Lindsay,North Dakota,Free,601
93,lisa46,james59@example.org,&EMeyhbt)2,2022-05-30,1970-06-21,Male,North Cindymouth,South Dakota,Premium,796
94,vanessapollard,mckenzieglen@example.net,+kZ*6Anvm),2023-09-13,1995-08-26,Male,Deborahbury,New Jersey,Premium,791
95,seth70,wilsoncheryl@example.com,3NJTE_mJ_k,2023-02-19,1970-05-21,Other,New Ashleyton,Colorado,Free,693
96,omullins,owong@example.com,j&W0NmGtlq,2022-10-25,1988-12-29,Other,Matthewview,Minnesota,Premium,724
97,david47,marianorris@example.net,&Cz+p9zYH1,2023-05-30,1975-06-12,Male,Clarkshire,North Carolina,Free,699
98,thompsonronald,anna75@example.net,91AjUl3q*H,2022-09-24,1988-08-19,Male,Taylormouth,Texas,Premium,679
99,amandawilkins,davenportronald@example.com,@0JChIoprm,2023-10-14,1971-12-13,Male,Port Nicholasshire,Maryland,Premium,720
100,andrewpotter,qfletcher@example.com,kD0OaB@P*8,2022-07-10,1976-07-09,Female,West Marvin,Arkansas,Premium,687
101,gcarr,arthur86@example.com,%x5KCYhahV,2023-09-24,1975-04-12,Other,New Elizabeth,Texas,Free,721
102,charles04,tonisparks@example.net,Jdk95qIn%F,2023-04-16,1962-04-05,Other,West Ricardofort,Mississippi,Premium,652
103,vnelson,martinezhannah@example.org,8Ag36H1ip^,2023-07-17,1990-02-26,Female,Lindsayport,Maryland,Premium,643
104,fhill,uhernandez@example.com,xC2nxEkq+I,2023-04-30,1961-04-17,Other,North Franklin,New Hampshire,Premium,690
105,stewartlaura,colemanbenjamin@example.net,A^J1Hy87D%,2022-07-17,1965-01-03,Female,West Jasonville,Colorado,Premium,686
106,barajasrobert,caroline43@example.com,*5YjfncWMd,2023-10-29,1964-03-09,Male,Lake Vanessa,Utah,Free,625
107,kmoore,stephaniehall@example.org,)k5dMzPW$#,2023-09-12,1968-02-12,Other,Port Luisfort,Louisiana,Free,593
108,qbrewer,sextonangela@example.net,*F1L_Upvp*,2023-04-26,1988-02-08,Other,East Teresa,Nevada,Premium,757
109,zhangjacob,kathleenflynn@example.com,4x3Ewod0+7,2022-10-21,1996-10-22,Female,Kellyfurt,South Carolina,Premium,748
110,lbaird,reedtraci@example.net,GLPoMsAy#7,2023-05-22,1989-08-10,Female,Parkerbury,Kansas,Premium,761
111,jameswilliams,kennethzuniga@example.org,KOXkvI*p^1,2022-05-18,1984-07-08,Female,South Danielle,Wisconsin,Free,706
112,lewismadison,pstevens@example.com,@_5C8TemK5,2022-08-19,1987-02-26,Female,Mcclainhaven,Wyoming,Free,706
113,boyleraymond,bcurtis@example.org,h_4eTegn4J,2022-09-29,2002-10-09,Male,New Kathleenburgh,Massachusetts,Premium,735
114,hayeschristopher,robert18@example.com,o)5N)%Qp9^,2022-03-21,1995-08-21,Other,Davidhaven,Kentucky,Premium,689
115,antonio18,cynthia73@example.com,YQ%1dXSs3d,2023-10-29,1975-12-21,Other,Johnsonside,Delaware,Free,752
116,bfloyd,amber70@example.com,tY1kPQwV@f,2022-09-08,2002-08-27,Male,South Brenda,West Virginia,Free,699
117,pamelaaustin,daniel74@example.com,&AV$6x9Tj0,2023-06-26,1973-01-16,Male,East Denise,New Jersey,Premium,748
118,zhangjennifer,shawn69@example.org,&5P+Ilj^mf,2022-06-23,1996-02-18,Male,West Miguel,Michigan,Premium,631
119,bryantmatthew,benjamin13@example.com,dYkKQA9r(0,2023-04-12,1989-08-29,Other,Matthewville,Vermont,Free,707
120,donna28,vhuynh@example.com,d4S5@vNW+N,2022-08-14,1992-10-13,Male,Timothystad,Louisiana,Free,731
121,jpowell,hdavenport@example.net,R(^m2!Ia&y,2023-11-05,1975-09-16,Female,Maldonadotown,Missouri,Free,699
122,carolfaulkner,jasmine51@example.org,az7FHmnyl_,2022-10-17,1959-09-18,Female,Rhodeshaven,Colorado,Premium,657
123,nunezsarah,huangnicole@example.net,_8CicJQm^4,2022-04-14,1997-09-11,Other,Smithland,Idaho,Premium,624
124,awilson,trujillomichaela@example.org,P^4cF&m6yA,2022-10-01,1969-04-16,Male,Lake Brianshire,Arkansas,Free,679
125,huertaterrence,williamschristopher@example.com,@S2Ia1wVFF,2022-04-18,1985-10-24,Male,Hillhaven,Kentucky,Free,764
126,douglasmurphy,lisaproctor@example.com,_r1aiKum0E,2023-04-14,1955-07-22,Male,Coxview,Nebraska,Free,692
127,pamela76,scottjohnston@example.org,*3%#O74f4M,2022-05-03,1959-05-24,Male,Jessicastad,Washington,Free,652
128,wdurham,greensean@example.org,#LPEh*Pv9B,2023-01-24,1991-02-23,Male,East Frank,Oregon,Premium,712
129,leonardcynthia,vjohnson@example.com,$k26FVslv%,2022-11-18,1956-05-30,Male,Port Christopherton,North Dakota,Premium,720
130,krichards,uholder@example.org,R$4Ud3nPnd,2023-05-20,1968-08-25,Female,Shawtown,Oregon,Free,657
131,brandonsteele,beverly02@example.com,&i8@RdmXkd,2022-08-17,1979-07-08,Female,Peterbury,Ohio,Free,755
132,jorge87,brownpamela@example.com,i3zAUP0r_&,2023-01-02,1971-11-02,Female,Parkerbury,Kansas,Premium,781
133,erikwright,ohenderson@example.com,IHZ0N!Hc(3,2022-04-24,1953-09-08,Other,East Amanda,Arkansas,Premium,794
134,amandawilliams,bradley18@example.net,!2cQNec#E),2022-03-30,2005-06-06,Other,East Wesleymouth,Connecticut,Free,662
135,xkelly,josephblackwell@example.org,_G%0Xhws)5,2022-07-19,1969-09-27,Male,Port Stevenchester,Arkansas,Premium,701
136,tiffanymartin,amandayoung@example.org,T$6EBlGO7f,2022-09-04,1989-09-20,Female,East Denise,New Jersey,Premium,747
137,yfisher,james86@example.com,j@(0RcUI2k,2023-06-27,1971-10-20,Female,South Kari,Indiana,Premium,788
138,codyjones,rita58@example.org,0D4CceuJ@X,2022-07-28,1989-11-19,Male,South Paul,Kentucky,Free,666
139,michael24,ismith@example.org,_+EP4kKiKC,2023-07-14,1987-12-04,Female,Courtneystad,Montana,Free,701
140,paulpayne,stephensdavid@example.org,@s0^Xuc%O&,2022-05-08,1990-03-20,Male,North Cindymouth,South Dakota,Premium,676
141,sjackson,lindsey95@example.com,+8^)JSwsA^,2023-10-10,1964-06-24,Other,Hernandezfort,Vermont,Premium,752
142,kevin09,ashley90@example.net,$tNM8gOO$(,2022-11-25,2002-08-13,Male,Port Christine,New Jersey,Free,734
143,jroberts,jeffrey31@example.com,#4l7W#2HAr,2021-12-13,1975-11-02,Male,Port Justin,Arizona,Free,704
144,jimenezrick,carrillorodney@example.net,8^3EB7sAP@,2022-12-05,1995-11-24,Other,North Ryanville,Alaska,Premium,717
145,vanessafox,christy44@example.com,6bxN4BMdO#,2023-03-21,1974-10-29,Female,Hernandezfort,Vermont,Premium,669
146,ricky99,laura45@example.com,APSJ_&v0#6,2023-03-22,1987-03-20,Female,Laurenshire,New Jersey,Free,771
147,williamsjennifer,kellybethany@example.com,nPx1ZQcu@u,2023-05-27,2003-12-15,Male,Carlsonport,Maine,Premium,758
148,zcolon,mbuckley@example.org,X8EQZDye_#,2022-08-19,1961-11-27,Male,Santanaville,Georgia,Premium,720
149,quinnleonard,tyler66@example.com,(4fkHpvHBx,2023-01-23,1959-10-08,Female,East David,Texas,Premium,625
150,thompsonjoseph,jfarley@example.com,yFj!9AJczH,2022-04-02,1976-11-14,Male,Lake Jill,Alaska,Free,653
151,michael51,malexander@example.org,SK1+PVv!L%,2022-04-05,1981-03-14,Female,Brownborough,Utah,Free,739
152,emurphy,nrichard@example.com,Hs2URG5a#8,2023-05-05,1983-06-20,Other,Lake Ryanfurt,Tennessee,Free,656
153,carolynarnold,adavies@example.net,&9CDg)iJ_9,2023-06-19,2004-01-31,Male,Michaelberg,Oklahoma,Free,762
154,blake31,william03@example.net,84zKnhnh&!,2022-06-18,1956-06-28,Other,New Laurenside,Vermont,Premium,657
155,acostastephanie,zachary69@example.org,)4x&_FKkF9,2022-06-02,1997-08-05,Other,Devinborough,Utah,Free,804
156,kimberlythomas,uwells@example.com,$*P8Kxw3hC,2022-01-10,1979-02-24,Male,Gordonside,Wyoming,Free,653
157,mathiskathleen,mackenzie13@example.net,c_3Z0ClUqF,2023-08-04,1962-06-19,Other,East Kelly,Missouri,Free,648
158,nmiller,christine39@example.org,w9Rg#gpl@O,2021-12-12,1984-07-01,Other,Anthonyshire,Illinois,Premium,651
159,evanshannah,brandon23@example.org,mFcW95k!!0,2023-07-22,1986-04-30,Male,Colontown,Alaska,Free,724
160,oscarmorgan,mccartybrian@example.org,#B9TGdjV7g,2023-08-18,1959-03-19,Other,Parkerbury,Kansas,Premium,729
161,travis16,dclarke@example.com,uhpGEvtf_3,2022-11-29,1971-08-10,Female,Port Martin,Kentucky,Premium,695
162,gwhite,shill@example.com,*8Vd^S@mD6,2021-12-05,1989-10-06,Male,West Charleshaven,Illinois,Premium,693
163,hforbes,garnerleonard@example.org,Pb6PAt*Wr!,2023-08-09,1954-12-10,Male,Donaldfort,Minnesota,Premium,740
164,sonya34,johnsonlisa@example.org,a354TEpfi$,2023-08-22,1978-01-19,Other,New Rachelview,California,Free,696
165,joanna79,sandrade@example.com,5YO!KyAq$#,2021-12-14,2000-05-06,Female,Hernandezfort,Vermont,Premium,618
166,stacymartinez,caleb75@example.org,%T7BXZz)^9,2023-09-05,1964-11-12,Other,Port Christine,New Jersey,Free,662
167,peterbrown,kristen30@example.com,+0P4ugc#%0,2023-06-03,1984-11-17,Male,Peterbury,Ohio,Free,611
168,reedjennifer,fcoleman@example.org,!q4O7V2l9Z,2022-11-23,1965-02-27,Male,Conradview,Hawaii,Free,624
169,nicholselizabeth,brian02@example.net,#_8yH5si3S,2023-08-26,1967-08-14,Female,Darinland,Wisconsin,Free,628
170,tamarajohnson,dianemoore@example.org,!f0YAjp!21,2023-06-08,2001-04-19,Other,Lake Sarahville,Arizona,Premium,742
171,kevindiaz,gregory73@example.com,r(Y0ERq!Q^,2023-07-26,2002-01-28,Female,Coxview,Nebraska,Premium,642
172,daniel04,grosscristina@example.net,!e6WBqdZa%,2023-04-23,1982-02-27,Female,North Heather,West Virginia,Premium,698
173,zjackson,perkinskelly@example.net,_5GW5gUsr8,2023-11-07,1982-04-09,Female,New Christy,Utah,Premium,701
174,williamskaren,rodriguezpatricia@example.com,&2Bi9Jtepx,2023-08-09,1960-04-18,Other,Robertsland,Arkansas,Free,673
175,scottvictoria,johnsonashley@example.com,!2UR6EsiL5,2023-02-13,1976-10-02,Male,Port Sandra,Wisconsin,Free,657
176,michael44,douglas17@example.net,_1SnyNLVU1,2022-04-06,1957-01-07,Male,Port Dannyfurt,Oregon,Free,752
177,sandra45,karen31@example.com,QG_7E_rDM&,2022-09-21,1964-05-01,Female,East David,Texas,Premium,773
178,mayoelizabeth,brianwells@example.net,+6IPkRaP#4,2023-04-13,1966-02-24,Other,Youngview,Massachusetts,Free,714
179,kingterri,dgibson@example.com,A(da5Mdqxb,2022-07-18,1969-04-18,Female,Lake Kenneth,New Jersey,Free,636
180,nicholashoward,herrerafrederick@example.org,lt!g3Q@fE1,2022-03-24,1961-06-12,Other,Port Christopher,Alaska,Free,726
181,nnixon,christopher68@example.com,8@UGBBl9_o,2022-07-17,1983-10-28,Male,West Sergioborough,Tennessee,Premium,663
182,cooperjody,masongray@example.net,T@V8_NW*Co,2023-05-01,2001-05-23,Other,Smithland,Idaho,Free,701
183,johnsonphilip,alexisdickson@example.com,Vs6C1t#B*4,2022-08-31,1969-09-14,Male,West Rebeccaberg,Virginia,Premium,723
184,fjones,yprice@example.org,+q^6rUot9),2022-07-19,1959-09-20,Female,East Jacob,Montana,Free,739
185,xsnyder,sarahgalvan@example.org,M)3Hn8jKiE,2023-04-07,1969-06-11,Female,Johnshire,Virginia,Premium,714
186,emma69,kathleensmith@example.com,AKbeGa8aj^,2023-05-07,1993-01-19,Male,Matthewville,Vermont,Premium,643
187,jasonrangel,bradshawaaron@example.net,C$vZ5XvmPi,2023-06-25,2004-05-25,Female,Lake William,Vermont,Premium,712
188,ddiaz,morgandavid@example.org,+9!8PccXKu,2022-06-12,2001-01-31,Male,South Dakotaburgh,Maine,Premium,721
189,heatherjohnson,qsmith@example.net,c^GC4SwKP5,2022-12-08,1993-06-03,Female,Deborahbury,New Jersey,Free,613
190,samantha38,arose@example.org,kr1y0Icj0$,2021-12-25,1989-09-05,Other,East Matthew,Utah,Premium,752
191,bradley81,gwendolyn31@example.org,%33Bi*VrG(,2022-09-09,1960-12-24,Other,New Brandon,Pennsylvania,Premium,752
192,allison82,carolyn24@example.com,m0CB8Neu&$,2022-11-11,1976-11-20,Female,East Bryanmouth,Montana,Free,686
193,erica63,vgregory@example.org,u)*6nLmu+(,2023-03-10,1957-11-19,Female,Lake Vanessa,Utah,Premium,746
194,munozamber,linmichael@example.com,@6UNjT$l@6,2022-05-19,1956-04-01,Other,West Brianhaven,Montana,Premium,727
195,michael13,romerosarah@example.net,(^7&!LFu0l,2022-08-20,1998-01-03,Other,Elizabethfurt,Colorado,Premium,625
196,anna31,laura90@example.com,4PqBMcog#t,2022-05-05,1959-05-02,Other,Georgemouth,New York,Premium,749
197,davidjacobs,josephmedina@example.net,&tm0CYWzX@,2023-03-28,1990-08-03,Male,Davisbury,Colorado,Premium,699
198,townsendamanda,jeanette17@example.org,*9KW0r9gjE,2022-07-21,1975-04-11,Female,East Melissa,California,Premium,678
199,pbaldwin,jasonanderson@example.com,56z5Z@pP_q,2023-07-11,1983-04-30,Female,South Shanebury,Hawaii,Free,719
200,wgarcia,mario20@example.net,^sEKRpjS*4,2021-12-10,1952-11-29,Other,Port Kimberlyport,North Carolina,Free,753
201,peter13,kristopher36@example.net,!uZn*74QT6,2023-07-31,1991-12-07,Other,Cummingstown,Louisiana,Free,777
202,jacksonhaley,blivingston@example.com,OIa5CGgj%G,2023-07-16,1975-11-19,Other,Port Martin,Kentucky,Premium,694
203,wrighttimothy,uholland@example.net,&3sMKCxzoZ,2023-05-26,1979-03-26,Female,Port Stevenchester,Arkansas,Premium,706
204,maddoxalexandria,edaugherty@example.com,91ICj(zx$!,2023-10-10,1978-02-24,Other,New Lindsay,North Dakota,Premium,619
205,nicholsonmichael,hmaldonado@example.net,MDZhwe1b^5,2023-04-08,1969-08-15,Other,West Sergioborough,Tennessee,Free,842
206,gutierreztara,wendyharrison@example.net,*Y7YzdQols,2023-09-30,1974-08-08,Female,Timothystad,Louisiana,Premium,612
207,nbarton,cannonbrandi@example.org,8xIF(TUw^y,2023-06-16,1997-12-04,Male,New Susanport,Texas,Premium,777
208,shawn12,adambaker@example.net,!1oGFe_TF@,2023-01-30,1986-09-25,Male,Lake James,Montana,Premium,640
209,harrisonjudy,malonemark@example.org,@#$u6SIeD%,2022-03-07,1966-04-23,Male,South Shanebury,Hawaii,Free,768
210,gfisher,suareztonya@example.org,zA2+6OkB&),2023-10-06,1996-05-13,Male,Rhodeshaven,Colorado,Premium,782
211,charris,robertsbrittany@example.com,k#1f0Zg8$@,2021-12-09,1974-06-23,Other,East Bryanmouth,Montana,Premium,664
212,imorales,crosssabrina@example.net,4qo1DGFcV+,2023-09-17,1959-05-24,Other,Scottside,Kentucky,Free,658
213,kerri23,douglashoward@example.org,*yQwIDjre5,2022-10-08,2001-08-04,Other,East Bryanmouth,Montana,Premium,669
214,willieallen,ppetty@example.org,_51JllgwrI,2022-04-22,1987-06-24,Other,East Frank,Oregon,Free,615
215,phillipbest,msosa@example.net,QT0ZkQoo!0,2023-09-15,1995-04-07,Female,East Melissa,California,Premium,736
216,johnflores,michael95@example.net,_D3hJCxpsC,2023-10-17,1975-01-16,Other,East Michael,South Carolina,Premium,591
217,sarahhill,silvajasmine@example.com,$y8wHTLA+&,2023-02-07,1959-12-16,Other,Lake Carolinefurt,Delaware,Free,662
218,tbrandt,anthony18@example.net,38_aUejA_^,2023-10-29,1964-01-05,Female,North Cindymouth,South Dakota,Premium,695
219,melinda74,eric64@example.com,jn_MIddx*5,2022-01-31,1965-09-07,Female,East Denise,New Jersey,Premium,650
