accountID,userID,accountType,accountName,bankName,currentBalance
41,10,Checking,Cruz LLC,Cruz LLC,2206.32
42,10,Savings,Greer Cole and Garcia,Greer Cole and Garcia,1413.12
43,10,Credit Card,Irwin-Beck Mortgage,Hardy Russo and Douglas,-2438.9
44,10,Car Loan,Simon PLC Student Loan,Torres-Rice,-20404.89
45,11,Checking,Foster Group,Foster Group,601.59
46,11,Savings,Phillips-Terry,Phillips-Terry,7183.39
47,11,Credit Card,Weaver Allen and Avila Checking,Wade-Olson,-1853.52
48,12,Checking,Faulkner Group,Faulkner Group,1841.02
49,12,Savings,Ramirez-Hanson,Ramirez-Hanson,19190.53
50,12,Student Loan,Campbell Fox and Schneider Student Loan,Simmons PLC,-34606.66
51,12,Credit Card,Hopkins Rangel and Bartlett Credit Card,Kelly PLC,-1549.78
52,12,Credit Card,Mccarthy Costa and Leblanc Investments,Perkins Group,-2564.21
53,13,Checking,Clark and Sons,Clark and Sons,3561.73
54,13,Savings,Faulkner Group,Faulkner Group,8656.67
55,13,Car Loan,Johns Ford and Levine Car Loan,Perry LLC,-26371.9
56,13,Investments,Vega-Burns Student Loan,Salazar and Sons,62597.21
57,13,Investments,Ruiz PLC Car Loan,Allen-Lowe,2350.18
58,14,Checking,Richard Ltd,Richard Ltd,393.77
59,14,Savings,Williams PLC,Williams PLC,18416.13
60,14,Investments,Mann Inc Investments,Mitchell-Pineda,40303.31
61,14,Mortgage,Mcpherson Patel and Sullivan Car Loan,Little-Ford,-133953.12
62,15,Checking,Barrett Group,Barrett Group,2921.6
63,15,Savings,Ellis Garcia and Fox,Ellis Garcia and Fox,4356.29
64,16,Checking,James-Jordan,James-Jordan,4206.89
65,16,Savings,Hopkins LLC,Hopkins LLC,3669.28
66,16,Mortgage,Morales Higgins and Gomez Investments,Compton PLC,-72418.43
67,16,Mortgage,Taylor-Walker Credit Card,Vaughan Group,-151422.41
68,17,Checking,Brown and Sons,Brown and Sons,1135.75
69,17,Savings,Faulkner Group,Faulkner Group,15152.87
70,17,Mortgage,Mcclain Cline and Rivera Credit Card,Moody-Glover,-248333.5
71,17,Car Loan,Mccullough Ltd Investments,Simpson Gibson and Wright,-31273.22
72,17,Student Loan,Andrade-Morris Car Loan,Moreno-Jensen,-34781.79
73,17,Car Loan,Douglas Ltd Mortgage,Palmer Valencia and Marshall,-22883.61
74,18,Checking,Clark and Sons,Clark and Sons,1578.89
75,18,Savings,Eaton-Hernandez,Eaton-Hernandez,16384.57
76,18,Investments,Avila Stein and Bates Savings,Jimenez-Rosales,63738.37
77,18,Student Loan,Huffman-Lawrence Investments,Green PLC,-35460.51
78,18,Car Loan,Avila Stein and Bates Savings,Townsend Bates and Erickson,-5376.66
79,18,Car Loan,Castaneda-Stout Mortgage,Salazar Thornton and Garcia,-14289.94
80,19,Checking,Payne-Johnson,Payne-Johnson,4187.36
81,19,Savings,Brown-Hall,Brown-Hall,12635.47
82,19,Investments,Good-Alvarado Investments,Jarvis-Carrillo,87200.11
83,19,Credit Card,Smith Moore and Fisher Car Loan,Huang Flores and Haley,-880.45
84,20,Checking,Williams PLC,Williams PLC,1478.37
85,20,Savings,Pineda-Shields,Pineda-Shields,2018.43
86,20,Mortgage,Macias Inc Credit Card,Williams-Barnes,-210730.38
87,20,Credit Card,Barron Miles and Schneider Car Loan,Bell-Ellis,-2484.92
88,21,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,3412.63
89,21,Savings,Faulkner Group,Faulkner Group,10821.32
90,21,Student Loan,Norman Miller and Swanson Student Loan,Castro-Rodriguez,-34955.65
91,21,Car Loan,Martinez-Ryan Mortgage,Gonzales-Smith,-30865.05
92,22,Checking,Johnson Group,Johnson Group,3484.55
93,22,Savings,Palmer-Becker,Palmer-Becker,4220.09
94,22,Mortgage,Anderson Ltd Credit Card,Hampton Owen and Novak,-239203.79
95,22,Investments,Harris and Sons Investments,Martinez-Valdez,24929.28
96,22,Student Loan,Clark Inc Credit Card,Hunter and Sons,-2968.51
97,23,Checking,Williams PLC,Williams PLC,3251.5
98,23,Savings,Williams-Khan,Williams-Khan,5919.58
99,23,Student Loan,Joyce-Lowe Mortgage,Green Cruz and Cook,-4523.64
100,23,Credit Card,Wong Graves and Wilson Investments,Browning Inc,-3036.17
101,24,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,461.65
102,24,Savings,Carrillo LLC,Carrillo LLC,11463.37
103,24,Investments,Dean Group Investments,Gomez Ltd,60762.77
104,24,Car Loan,Garcia Group Mortgage,Donovan and Sons,-17723.28
105,24,Mortgage,Edwards Jones and Turner Credit Card,Edwards PLC,-189619.28
106,25,Checking,Brown-Thomas,Brown-Thomas,1280.43
107,25,Savings,Hudson-Chan,Hudson-Chan,18014.13
108,25,Car Loan,King Johnston and Whitehead Savings,Wilson Long and Huff,-37167.1
109,25,Car Loan,Miller Inc Mortgage,Jennings Brooks and Gilbert,-31330.35
110,26,Checking,Hill-Brennan,Hill-Brennan,2546.32
111,26,Savings,Johnson Group,Johnson Group,7088.3
112,26,Student Loan,Simon PLC Student Loan,Brooks-Maldonado,-40202.37
113,26,Car Loan,Smith Price and Terry Checking,Shaffer Group,-24439.75
114,26,Investments,Harris PLC Mortgage,Velazquez Group,88361.39
115,27,Checking,Barrett Group,Barrett Group,4803.5
116,27,Savings,Smith-Nguyen,Smith-Nguyen,695.77
117,27,Car Loan,Robinson-Lewis Student Loan,Montoya and Sons,-24781.69
118,27,Car Loan,Price Group Savings,Phillips Smith and Gonzalez,-37668.18
119,27,Mortgage,Webster-Smith Savings,Bell Nelson and Allen,-127461.34
120,28,Checking,Carrillo LLC,Carrillo LLC,1377.98
121,28,Savings,Cruz LLC,Cruz LLC,2118.95
122,28,Car Loan,Walker-Lopez Savings,Wilson-Cobb,-33132.73
123,28,Mortgage,Chambers-Ward Savings,Choi-Mccarthy,-61840.86
124,29,Checking,Mason-Mcclure,Mason-Mcclure,3168.84
125,29,Savings,Carrillo LLC,Carrillo LLC,8413.89
126,29,Mortgage,Wilson and Sons Mortgage,Parks Jones and Thompson,-95588.49
127,29,Credit Card,Jackson Group Checking,Harris Ltd,-4628.8
128,29,Credit Card,Myers Owens and Anderson Student Loan,Casey Zimmerman and Ellis,-1116.88
129,30,Checking,Mays PLC,Mays PLC,1905.64
130,30,Savings,Wiley-George,Wiley-George,755.44
131,30,Car Loan,Bridges-Frost Car Loan,Harrison Anthony and Morales,-34098.78
132,30,Mortgage,Hernandez-Jones Investments,Shaffer-Jackson,-90298.79
133,30,Car Loan,Fitzgerald Ltd Investments,Torres Inc,-36166.9
134,31,Checking,Martinez-Butler,Martinez-Butler,4425.6
135,31,Savings,Luna Becker and Hensley,Luna Becker and Hensley,14079.09
136,31,Investments,Mccoy and Sons Savings,Berg-Skinner,80856.96
137,32,Checking,Clark and Sons,Clark and Sons,4101.69
138,32,Savings,Anderson-Maldonado,Anderson-Maldonado,10945.97
139,32,Credit Card,Olsen Ltd Mortgage,Hayes Cochran and Foster,-3888.05
140,32,Investments,Hill and Sons Investments,Edwards and Sons,38715.56
141,32,Investments,Mueller-Martin Investments,Le Rodriguez and Cobb,58935.6
142,33,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,871.25
143,33,Savings,Lopez PLC,Lopez PLC,17154.34
144,33,Car Loan,Castro Gomez and Watts Checking,Wilson LLC,-6617.42
145,34,Checking,Carrillo LLC,Carrillo LLC,679.27
146,34,Savings,Garcia-Jacobson,Garcia-Jacobson,18715.81
147,34,Student Loan,Mccullough Ltd Investments,Wood and Sons,-36461.09
148,35,Checking,James-Jordan,James-Jordan,2787.91
149,35,Savings,Anderson-Maldonado,Anderson-Maldonado,11278.35
150,35,Investments,Elliott-Kennedy Student Loan,Patterson Williams and Pruitt,29440.93
151,35,Investments,Arnold Rodriguez and Williams Credit Card,Park-Lambert,16213.07
152,36,Checking,Dougherty Greene and Johnston,Dougherty Greene and Johnston,3791.41
153,36,Savings,Villegas Weaver and Skinner,Villegas Weaver and Skinner,8578.22
154,36,Student Loan,Wright-Baldwin Student Loan,Matthews-Morgan,-22185.54
155,36,Student Loan,Brown PLC Checking,Jones Group,-33790.7
156,36,Credit Card,Hernandez Berry and Huynh Credit Card,Edwards Ltd,-1191.96
157,36,Credit Card,Haynes-Jones Savings,Baldwin Gonzalez and Miller,-2238.37
158,37,Checking,Mason-Mcclure,Mason-Mcclure,2752.99
159,37,Savings,Hawkins-Robinson,Hawkins-Robinson,5967.78
160,38,Checking,Greer Cole and Garcia,Greer Cole and Garcia,4298.51
161,38,Savings,Payne-Johnson,Payne-Johnson,2459.68
162,39,Checking,Smith-Nguyen,Smith-Nguyen,1606.92
163,39,Savings,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,8545.26
164,39,Mortgage,Garcia and Sons Investments,Mccarty Stone and Cox,-95314.35
165,39,Investments,Patterson-Thompson Savings,House LLC,40291.0
166,39,Credit Card,James Johnson and Spears Savings,Phillips-Hunter,-3646.64
167,39,Student Loan,Vega-Burns Student Loan,Zavala Inc,-8941.88
168,40,Checking,James-Jordan,James-Jordan,1799.36
169,40,Savings,Brown-Hall,Brown-Hall,13854.59
170,40,Credit Card,Clements-Walker Mortgage,Stevenson Rios and Armstrong,-1925.11
171,41,Checking,Foster Group,Foster Group,2668.74
172,41,Savings,Pineda-Shields,Pineda-Shields,7283.05
173,41,Credit Card,Flynn-Hicks Investments,Guzman-Keith,-627.25
174,42,Checking,Brown-Hall,Brown-Hall,994.62
175,42,Savings,Warren-Torres,Warren-Torres,11312.97
176,42,Investments,Smith Price and Terry Checking,Williams-Smith,70476.78
177,42,Car Loan,Weaver Allen and Avila Checking,Proctor-Long,-6837.98
178,42,Mortgage,Morgan LLC Investments,Baxter and Sons,-128141.69
179,42,Student Loan,Rivera Salazar and Johnson Student Loan,Lee Jones and Thomas,-1497.12
180,43,Checking,Williams-Cooke,Williams-Cooke,1149.31
181,43,Savings,Browning Brown and Kennedy,Browning Brown and Kennedy,8611.57
182,44,Checking,King-Davis,King-Davis,4843.47
183,44,Savings,Eaton-Hernandez,Eaton-Hernandez,5808.71
184,44,Car Loan,Clark Munoz and Velazquez Checking,Wilson and Sons,-33749.4
185,44,Investments,Simmons-Park Mortgage,White-Horne,19876.18
186,44,Student Loan,Stanton-Harris Checking,Smith-King,-19406.09
187,44,Car Loan,Mcpherson Patel and Sullivan Car Loan,Johnson-Stevens,-22655.3
188,45,Checking,Barrett Group,Barrett Group,2299.21
189,45,Savings,Lopez PLC,Lopez PLC,16698.51
190,45,Investments,Edwards Jones and Turner Credit Card,Park Wilkins and Sullivan,31392.14
191,45,Car Loan,Ortiz Curtis and Dominguez Student Loan,Robinson Pope and George,-36379.08
192,45,Student Loan,Perry-Alvarez Savings,Knight Ltd,-42929.86
193,46,Checking,Eaton-Hernandez,Eaton-Hernandez,381.83
194,46,Savings,Eaton-Hernandez,Eaton-Hernandez,14627.2
195,46,Mortgage,Clements-Walker Mortgage,Chandler PLC,-148830.03
196,46,Car Loan,Bautista Martinez and Campbell Student Loan,Alvarado Moore and Lee,-17687.46
197,47,Checking,Greer Cole and Garcia,Greer Cole and Garcia,693.14
198,47,Savings,Ellis Garcia and Fox,Ellis Garcia and Fox,10704.36
199,47,Mortgage,Bailey Evans and Nelson Investments,Johnson Brooks and Scott,-233716.56
200,47,Mortgage,Hill Group Checking,Scott Inc,-97163.06
201,48,Checking,Villegas Weaver and Skinner,Villegas Weaver and Skinner,4865.68
202,48,Savings,Palmer-Becker,Palmer-Becker,6555.1
203,48,Credit Card,Webb-Chan Credit Card,Coleman Inc,-2355.69
204,49,Checking,Faulkner Group,Faulkner Group,3097.4
205,49,Savings,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,944.38
206,49,Car Loan,Hernandez Berry and Huynh Credit Card,Boyd Ltd,-30972.99
207,50,Checking,Foster Group,Foster Group,4209.8
208,50,Savings,Williams-Cooke,Williams-Cooke,15383.5
209,50,Credit Card,Grant and Sons Savings,Castillo LLC,-3871.98
210,51,Checking,Gonzales Group,Gonzales Group,3509.65
211,51,Savings,Williams PLC,Williams PLC,15523.93
212,51,Mortgage,Wells Hays and Pierce Mortgage,Delacruz PLC,-137834.08
213,51,Investments,Moore LLC Student Loan,King Cooper and Vega,27013.18
214,52,Checking,Anderson-Maldonado,Anderson-Maldonado,1772.84
215,52,Savings,Cruz LLC,Cruz LLC,16915.84
216,52,Mortgage,Harris-Webb Checking,Leblanc Ltd,-177648.42
217,52,Mortgage,Miller PLC Mortgage,Burch-Williamson,-214199.98
218,52,Credit Card,Johns Ford and Levine Car Loan,Myers Crawford and Banks,-850.75
219,52,Mortgage,Murphy Lynch and Gay Mortgage,Wright Group,-182319.21
220,53,Checking,Anderson-Maldonado,Anderson-Maldonado,4493.6
221,53,Savings,Gonzales Group,Gonzales Group,6441.01
222,53,Investments,Bennett Gray and Morales Investments,Gonzalez-Taylor,32734.9
223,53,Mortgage,Wilson and Sons Savings,Irwin Moore and Cole,-83157.91
224,53,Investments,Ramirez Inc Mortgage,White Inc,29538.05
225,53,Mortgage,Ward and Sons Checking,Reyes and Sons,-241778.58
226,54,Checking,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,3014.58
227,54,Savings,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,14055.03
228,55,Checking,Warren-Torres,Warren-Torres,3985.12
229,55,Savings,Ellis Garcia and Fox,Ellis Garcia and Fox,18263.64
230,55,Investments,Pittman-Perkins Investments,Anderson Walker and Lyons,67502.79
231,55,Student Loan,Wells-Taylor Car Loan,Brown-Wallace,-9522.64
232,55,Investments,Blankenship Group Investments,Cook Ray and Smith,93816.2
233,56,Checking,Lopez PLC,Lopez PLC,3622.03
234,56,Savings,Gonzales Group,Gonzales Group,6725.66
235,56,Credit Card,Guerrero Hayes and Gonzales Savings,Stuart LLC,-852.49
236,56,Investments,Blake-Howell Car Loan,Jones Smith and Doyle,21565.12
237,56,Mortgage,Blevins Jensen and Greer Mortgage,Hunt King and Newman,-96671.96
238,57,Checking,Rangel Gilmore and Myers,Rangel Gilmore and Myers,737.67
239,57,Savings,Brown-Hall,Brown-Hall,4319.55
240,57,Car Loan,Marquez Group Mortgage,Coleman-Smith,-16137.55
241,57,Car Loan,Contreras Hayes and Knapp Car Loan,Cabrera Perez and Gross,-38889.26
242,57,Car Loan,Colon Peters and Rodriguez Student Loan,Taylor Alvarado and Byrd,-25384.5
243,58,Checking,King-Davis,King-Davis,4127.01
244,58,Savings,Hopkins LLC,Hopkins LLC,17282.5
245,58,Car Loan,Bennett Gray and Morales Investments,Marsh and Sons,-24646.9
246,58,Mortgage,Alexander Browning and Brown Investments,Flores Carson and Robinson,-142011.71
247,59,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,1946.0
248,59,Savings,Greer Cole and Garcia,Greer Cole and Garcia,18516.97
249,59,Student Loan,Edwards-Smith Checking,Greene Wells and Kane,-38875.06
250,59,Student Loan,Stevenson Wilson and Robinson Savings,Townsend-Hanna,-25075.69
251,59,Student Loan,Miller-Nguyen Credit Card,Davenport Foster and Gates,-8457.31
252,59,Student Loan,Schmitt PLC Car Loan,Zhang Reynolds and Wall,-26613.39
253,60,Checking,Williams-Khan,Williams-Khan,511.96
254,60,Savings,Williams-Cooke,Williams-Cooke,18175.16
255,60,Mortgage,Branch Inc Credit Card,Mcdonald and Sons,-90208.78
256,61,Checking,Rangel Gilmore and Myers,Rangel Gilmore and Myers,4662.3
257,61,Savings,Williams-Khan,Williams-Khan,8670.91
258,61,Car Loan,Beck Sanchez and Weber Checking,Mills Inc,-18302.6
259,61,Investments,White-Camacho Car Loan,Willis Garner and Francis,4050.0
260,62,Checking,Chavez Schwartz and Williams,Chavez Schwartz and Williams,3686.97
261,62,Savings,Faulkner Group,Faulkner Group,4014.49
262,62,Car Loan,Mcmahon PLC Car Loan,Jordan Martinez and Mahoney,-14439.01
263,62,Investments,Johnson Inc Mortgage,Lynch-Jimenez,48649.59
264,62,Investments,Dean LLC Checking,Meyer-Hendricks,37970.01
265,63,Checking,Hernandez-Edwards,Hernandez-Edwards,863.11
266,63,Savings,Wiley-George,Wiley-George,12449.5
267,63,Mortgage,Hickman Group Car Loan,Smith-Willis,-70745.08
268,64,Checking,Hawkins-Robinson,Hawkins-Robinson,2174.25
269,64,Savings,Wiley-George,Wiley-George,14030.92
270,64,Credit Card,Floyd-Medina Checking,Scott and Sons,-4965.07
271,65,Checking,Phillips-Terry,Phillips-Terry,1795.56
272,65,Savings,Brown-Hall,Brown-Hall,766.19
273,65,Mortgage,Gibson Ltd Savings,Garcia Ltd,-180939.67
274,65,Credit Card,Marquez-Watts Investments,Hart Group,-4699.89
275,66,Checking,Phillips-Terry,Phillips-Terry,162.41
276,66,Savings,Cruz LLC,Cruz LLC,14366.12
277,66,Mortgage,Robinson-Jones Investments,Hughes Nelson and Michael,-66455.31
278,66,Student Loan,Bell Martinez and Johnson Mortgage,Collier-Carr,-11807.08
279,66,Mortgage,Wright-Baldwin Student Loan,Bell and Sons,-137585.3
280,66,Credit Card,Wolf-Merritt Car Loan,Adams Group,-216.21
281,67,Checking,Lopez PLC,Lopez PLC,512.04
282,67,Savings,Warren-Torres,Warren-Torres,19476.88
283,67,Investments,Webb-Chan Credit Card,Davis Group,46897.9
284,67,Mortgage,Murphy Fisher and Anthony Mortgage,Thompson Inc,-126996.06
285,67,Student Loan,Miller Inc Mortgage,Glover Howe and Wright,-28176.88
286,67,Student Loan,Webb-Chan Credit Card,Carroll Inc,-7666.18
287,67,Student Loan,Harvey-Stevens Credit Card,Richardson Porter and Thompson,-23999.8
288,68,Checking,James-Jordan,James-Jordan,4797.63
289,68,Savings,Wiley-George,Wiley-George,9648.83
290,69,Checking,Brown and Sons,Brown and Sons,3066.75
291,69,Savings,Clark and Sons,Clark and Sons,7362.62
292,69,Investments,Campbell Carlson and Mitchell Savings,Mcgrath-Gill,64249.99
293,69,Car Loan,Davis Inc Student Loan,Smith-Long,-26130.64
294,69,Student Loan,Barr-Moreno Credit Card,Hancock-Nunez,-32346.9
295,70,Checking,Villegas Weaver and Skinner,Villegas Weaver and Skinner,2061.9
296,70,Savings,Brown and Sons,Brown and Sons,11096.45
297,70,Student Loan,Sanchez-Coleman Checking,Aguilar-White,-30254.34
298,70,Student Loan,Harper Walters and Richardson Student Loan,Wood LLC,-45292.67
299,70,Mortgage,Bautista Martinez and Campbell Student Loan,Ramos Reyes and Taylor,-50016.91
300,70,Investments,Rush LLC Car Loan,Powell PLC,8067.85
301,70,Credit Card,Wright and Sons Credit Card,Johnson-Perez,-1465.78
302,71,Checking,Ellis Garcia and Fox,Ellis Garcia and Fox,3682.83
303,71,Savings,Hopkins LLC,Hopkins LLC,19619.16
304,71,Credit Card,Leonard PLC Checking,Moss Strickland and Kelly,-234.11
305,71,Credit Card,Hernandez Inc Investments,Woods-Walters,-3291.55
306,72,Checking,Williams-Cooke,Williams-Cooke,1206.32
307,72,Savings,Dougherty Greene and Johnston,Dougherty Greene and Johnston,9297.84
308,73,Checking,Smith-Nguyen,Smith-Nguyen,4219.27
309,73,Savings,Dunlap Rodriguez and Russo,Dunlap Rodriguez and Russo,9234.94
310,73,Car Loan,Beck Sanchez and Weber Checking,Bennett-Simpson,-24771.72
311,73,Investments,Steele-Weeks Student Loan,Powers-Gross,35697.88
312,73,Credit Card,Johnson-Spears Savings,Moody-Dillon,-4056.05
313,74,Checking,Williams PLC,Williams PLC,1958.07
314,74,Savings,Luna Becker and Hensley,Luna Becker and Hensley,6377.16
315,74,Credit Card,Garcia and Sons Investments,Rosales Ltd,-2941.26
316,74,Credit Card,Lowe-Elliott Car Loan,Bell-Atkins,-1038.25
317,75,Checking,James-Jordan,James-Jordan,1850.72
318,75,Savings,Clark and Sons,Clark and Sons,10828.3
319,75,Investments,Wu Allen and Horne Student Loan,Collier Zamora and Velasquez,46747.07
320,76,Checking,Foster Group,Foster Group,803.69
321,76,Savings,Hopkins LLC,Hopkins LLC,2060.64
322,76,Car Loan,James Johnson and Spears Savings,Hayden Inc,-31342.3
323,77,Checking,Hopkins LLC,Hopkins LLC,3379.24
324,77,Savings,Mays PLC,Mays PLC,5389.71
325,77,Car Loan,Harris PLC Mortgage,Hughes Group,-16808.89
326,78,Checking,Palmer-Becker,Palmer-Becker,3911.06
327,78,Savings,Williams-Cooke,Williams-Cooke,9272.49
328,78,Credit Card,Garrett Miller and Moore Savings,Wilson-Roberts,-2807.9
329,78,Student Loan,Olsen Ltd Mortgage,Wright-West,-31359.21
330,78,Investments,Blake-Howell Car Loan,Mills and Sons,39946.04
331,79,Checking,Mathis Aguilar and Santiago,Mathis Aguilar and Santiago,823.46
332,79,Savings,Williams PLC,Williams PLC,18921.66
333,80,Checking,Smith-Nguyen,Smith-Nguyen,3526.81
334,80,Savings,Martinez-Butler,Martinez-Butler,15279.2
335,80,Mortgage,Bennett Ramirez and Klein Mortgage,Robinson Ltd,-59018.4
336,80,Mortgage,Macias Inc Credit Card,Stanton-Johnson,-133015.32
337,80,Investments,Castro Gomez and Watts Checking,Simmons LLC,35612.39
338,80,Student Loan,Barnett-Vega Car Loan,Shannon Taylor and Moyer,-23433.62
339,81,Checking,Rangel Gilmore and Myers,Rangel Gilmore and Myers,4585.02
340,81,Savings,Dougherty Greene and Johnston,Dougherty Greene and Johnston,14933.83
341,81,Student Loan,Daniels Porter and Ortiz Car Loan,Campos Ltd,-37115.82
342,81,Mortgage,Riley-Johnson Car Loan,Alexander-Padilla,-157173.97
343,81,Student Loan,Martin Rodriguez and Mayo Student Loan,Pacheco-Alvarez,-10463.02
344,81,Student Loan,Curtis Harris and Smith Savings,Norris Ltd,-25435.81
345,82,Checking,Browning Brown and Kennedy,Browning Brown and Kennedy,2397.4
346,82,Savings,King-Davis,King-Davis,18174.94
347,82,Investments,Alvarez-Williams Mortgage,Fox Wyatt and Huang,5369.77
348,82,Car Loan,Branch Inc Credit Card,Thomas Inc,-29218.05
349,82,Investments,Hill-Pierce Checking,Jimenez-Fisher,36322.86
350,82,Student Loan,Graves Group Car Loan,Moore Ltd,-29057.63
351,83,Checking,Brown-Thomas,Brown-Thomas,2740.1
352,83,Savings,Hawkins-Robinson,Hawkins-Robinson,8082.3
353,83,Student Loan,Lyons-Sullivan Car Loan,Harrington Inc,-41891.3
354,83,Car Loan,Sanders-Olson Checking,Lee Inc,-36420.96
355,84,Checking,Carrillo LLC,Carrillo LLC,2220.57
356,84,Savings,Garcia-Jacobson,Garcia-Jacobson,6446.39
357,84,Car Loan,Schroeder PLC Car Loan,Oliver Chavez and Gilmore,-14710.16
358,84,Car Loan,Jackson Edwards and Mckinney Checking,Barron Robbins and Young,-30289.48
359,84,Mortgage,Lowe-Elliott Car Loan,Mccoy-Watts,-239737.17
360,85,Checking,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,4673.41
361,85,Savings,Martinez-Butler,Martinez-Butler,15366.37
362,85,Mortgage,Smith Price and Terry Checking,Gillespie-Gregory,-134216.73
363,85,Mortgage,Hansen-Mays Investments,Gross Inc,-144450.09
364,85,Mortgage,Gaines-Griffith Car Loan,Thompson-Berg,-99015.31
365,86,Checking,Hawkins-Robinson,Hawkins-Robinson,2872.36
366,86,Savings,Browning Brown and Kennedy,Browning Brown and Kennedy,8130.41
367,86,Mortgage,Riley-Johnson Car Loan,Martin Aguilar and Bryant,-133495.83
368,87,Checking,Dunlap Rodriguez and Russo,Dunlap Rodriguez and Russo,1149.78
369,87,Savings,Brown-Hall,Brown-Hall,4234.88
370,87,Car Loan,Levine-Wilson Student Loan,Garcia Ltd,-10083.28
371,88,Checking,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,1874.39
372,88,Savings,Ramirez-Hanson,Ramirez-Hanson,5265.81
373,88,Credit Card,Reynolds Stanton and Chambers Savings,Dillon Evans and Mckee,-186.72
374,88,Student Loan,Hernandez-Jones Investments,Park PLC,-29675.48
375,88,Mortgage,Massey-Jones Credit Card,Marshall Robertson and Rivas,-217791.42
376,89,Checking,Simmons Mullins and Guerrero,Simmons Mullins and Guerrero,3282.6
377,89,Savings,Hernandez-Edwards,Hernandez-Edwards,15152.55
378,89,Car Loan,Mccullough Ltd Investments,Nelson-Wilson,-13551.98
379,89,Mortgage,Alexander Ltd Student Loan,Atkins-Carson,-66450.86
380,89,Investments,Robinson-Lewis Student Loan,Bell-Mann,42129.9
381,90,Checking,Martinez-Butler,Martinez-Butler,2822.05
382,90,Savings,Hawkins-Robinson,Hawkins-Robinson,19735.79
383,90,Car Loan,Farley Hernandez and Oconnell Savings,Kramer Knapp and Hardy,-29192.78
384,91,Checking,Luna Becker and Hensley,Luna Becker and Hensley,4404.62
